iter	Passed	Remaining
652	37070	48083
653	37123	48021
654	37181	47966
655	37243	47916
656	37301	47861
657	37358	47805
658	37416	47749
659	37472	47691
660	37531	47637
661	37588	47581
662	37647	47527
663	37706	47474
664	37766	47420
665	37824	47365
666	37885	47314
667	37955	47273
668	38021	47228
669	38080	47174
670	38137	47117
671	38195	47061
672	38254	47008
673	38311	46951
674	38367	46893
675	38425	46837
676	38483	46782
677	38540	46726
678	38598	46670
679	38651	46609
680	38708	46552
681	38767	46498
682	38824	46441
683	38881	46384
684	38938	46328
685	38998	46275
686	39078	46245
687	39139	46193
688	39199	46140
689	39258	46085
690	39318	46032
691	39377	45977
692	39434	45921
693	39498	45872
694	39559	45821
695	39620	45769
696	39678	45712
697	39737	45658
698	39796	45603
699	39855	45548
700	39912	45491
701	39970	45436
702	40027	45379
703	40089	45328
704	40151	45277
705	40209	45220
706	40269	45168
707	40324	45108
708	40382	45053
709	40440	44997
710	40501	44944
711	40559	44888
712	40618	44834
713	40675	44777
714	40737	44725
715	40795	44669
716	40850	44610
717	40906	44552
718	40958	44490
719	41015	44433
720	41075	44379
721	41131	44321
722	41189	44265
723	41246	44209
724	41307	44156
725	41365	44100
726	41423	44044
727	41479	43986
728	41539	43932
729	41599	43878
730	41656	43821
731	41713	43765
732	41770	43708
733	41830	43654
734	41886	43595
735	41944	43539
736	41998	43480
737	42053	43420
738	42110	43364
739	42171	43311
740	42229	43255
741	42291	43203
742	42353	43151
743	42416	43100
744	42473	43043
745	42530	42987
746	42586	42928
747	42642	42870
748	42702	42816
749	42761	42761
750	42821	42707
751	42884	42656
752	42943	42601
753	43000	42544
754	43059	42489
755	43114	42430
756	43173	42374
757	43230	42318
758	43290	42264
759	43353	42212
760	43411	42156
761	43472	42103
762	43531	42047
763	43592	41994
764	43650	41938
765	43714	41887
766	43770	41830
767	43834	41779
768	43891	41722
769	43948	41665
770	44000	41604
771	44059	41548
772	44119	41493
773	44175	41435
774	44236	41382
775	44296	41327
776	44356	41273
777	44414	41217
778	44473	41162
779	44534	41108
780	44610	41069
781	44667	41011
782	44722	40953
783	44779	40895
784	44838	40839
785	44897	40784
786	44947	40720
787	45006	40665
788	45062	40607
789	45121	40552
790	45173	40490
791	45231	40434
792	45291	40379
793	45352	40326
794	45413	40271
795	45472	40216
796	45528	40159
797	45583	40099
798	45640	40042
799	45715	40000
800	45777	39948
801	45836	39892
802	45890	39832
803	45945	39773
804	46006	39720
805	46066	39665
806	46125	39609
807	46182	39551
808	46241	39496
809	46300	39441
810	46359	39385
811	46417	39328
812	46475	39272
813	46534	39216
814	46591	39159
815	46651	39104
816	46710	39049
817	46776	38999
818	46837	38945
819	46897	38890
820	46955	38833
821	47015	38779
822	47073	38722
823	47132	38667
824	47191	38610
825	47247	38553
826	47307	38498
827	47364	38440
828	47423	38385
829	47483	38329
830	47541	38273
831	47597	38215
832	47658	38161
833	47715	38103
834	47774	38047
835	47829	37988
836	47891	37935
837	47948	37878
838	48007	37822
839	48065	37765
840	48123	37708
841	48180	37652
842	48236	37593
843	48295	37537
844	48355	37482
845	48413	37426
846	48470	37368
847	48528	37312
848	48584	37253
849	48644	37198
850	48700	37140
851	48762	37087
852	48821	37031
853	48879	36974
854	48934	36915
855	48994	36860
856	49051	36803
857	49110	36747
858	49167	36689
859	49227	36634
860	49291	36582
861	49348	36524
862	49410	36471
863	49468	36414
864	49527	36358
865	49584	36301
866	49644	36245
867	49702	36188
868	49759	36131
869	49817	36074
870	49876	36018
871	49936	35963
872	49993	35905
873	50053	35850
874	50110	35793
875	50171	35738
876	50228	35680
877	50288	35625
878	50351	35572
879	50410	35516
880	50468	35459
881	50528	35404
882	50587	35348
883	50649	35293
884	50707	35237
885	50766	35181
886	50827	35126
887	50884	35069
888	50948	35016
889	51005	34958
890	51066	34903
891	51125	34847
892	51185	34792
893	51243	34735
894	51295	34674
895	51352	34617
896	51412	34561
897	51470	34504
898	51527	34447
899	51586	34390
900	51642	34333
901	51699	34275
902	51758	34218
903	51817	34162
904	51877	34107
905	51937	34051
906	51999	33997
907	52060	33942
908	52118	33885
909	52178	33829
910	52235	33772
911	52294	33716
912	52351	33658
913	52412	33603
914	52466	33544
915	52525	33487
916	52584	33431
917	52643	33374
918	52702	33318
919	52758	33261
920	52819	33205
921	52876	33148
922	52936	33092
923	52992	33034
924	53050	32977
925	53108	32920
926	53166	32863
927	53226	32807
928	53283	32750
929	53343	32694
930	53400	32636
931	53458	32579
932	53515	32522
933	53574	32465
934	53629	32407
935	53688	32350
936	53762	32303
937	53822	32247
938	53881	32190
939	53936	32132
940	53996	32076
941	54047	32015
942	54103	31957
943	54160	31899
944	54217	31842
945	54275	31785
946	54334	31728
947	54396	31673
948	54456	31618
949	54517	31562
950	54579	31508
951	54637	31450
952	54696	31394
953	54755	31337
954	54815	31281
955	54874	31225
956	54931	31168
957	54990	31111
958	55047	31054
959	55106	30997
960	55163	30939
961	55220	30882
962	55277	30824
963	55337	30768
964	55398	30713
965	55457	30656
966	55515	30599
967	55576	30544
968	55635	30487
969	55693	30430
970	55751	30373
971	55810	30316
972	55869	30260
973	55924	30201
974	55978	30142
975	56035	30084
976	56093	30027
977	56152	29970
978	56210	29913
979	56267	29856
980	56322	29797
981	56378	29739
982	56436	29682
983	56493	29624
984	56552	29567
985	56611	29511
986	56669	29454
987	56724	29395
988	56785	29340
989	56844	29283
990	56904	29227
991	56961	29169
992	57033	29119
993	57091	29062
994	57151	29006
995	57209	28949
996	57268	28892
997	57325	28835
998	57382	28777
